City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,georgetown,5.4112,100.3354,28.3,93,20,1.03,MY,1696025709
84,crane,31.3974,-102.3501,33.66,29,0,8.9,US,1696025833
85,khorinsk,52.1657,109.7726,3.76,87,0,0.61,RU,1696026259
86,tevriz,57.509,72.4042,9.49,92,100,1.57,RU,1696026260
87,kainantu,-6.2887,145.8655,19.09,65,61,0.37,PG,1696026260
88,labrador city,52.9463,-66.9114,10.95,66,75,2.06,CA,1696025712
89,klerksdorp,-26.8521,26.6667,16.86,40,0,4.03,ZA,1696026260
90,xingcheng,40.6167,120.7167,14.46,49,0,5.12,CN,1696026260
91,west island,-12.1568,96.8225,24.99,78,75,6.17,CC,1696025753
92,darya khan marri,26.6775,68.2859,29.89,13,21,3.75,PK,1696026261
93,hermanus,-34.4187,19.2345,15.53,83,87,8.83,ZA,1696025564
94,constantia,44.1833,28.65,18.38,66,9,7.42,RO,1696025797
95,prince rupert,54.3161,-130.3201,12.83,81,0,5.14,CA,1696026009
96,kourou,5.1552,-52.6478,29.03,78,10,5.57,GF,1696026261
97,island harbour,50.724,-1.2758,13.97,92,99,2.56,GB,1696026262
98,prince george,53.9166,-122.753,11.69,76,100,1.54,CA,1696025633
99,opuwo,-18.0607,13.84,20.39,44,4,2.33,NA,1696025805
100,mahanoro,-19.9,48.8,21.12,84,43,1.83,MG,1696026262
101,fort bragg,35.139,-79.006,23.79,71,40,2.57,US,1696025840
102,longyearbyen,78.2186,15.6401,-1.09,74,75,1.54,SJ,1696025760
103,puerto baquerizo moreno,-0.9,-89.6,25.55,73,75,4.63,EC,1696025789
104,melfort,52.8667,-104.6177,18.05,38,93,3.16,CA,1696026263
105,thompson,55.7435,-97.8558,13.09,71,75,2.06,CA,1696025819
106,berdigestyakh,62.0989,126.6992,-2.09,61,74,1.78,RU,1696026263
107,newman,37.3138,-121.0208,30.13,42,5,2.24,US,1696025873
108,ilulissat,69.2167,-51.1,0.01,86,100,0.0,GL,1696025780
109,mar del plata,-38.0023,-57.5575,8.94,92,100,1.79,AR,1696025522
110,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,87,0,3.0,RU,1696025741
111,gadzhiyevo,69.2551,33.3362,10.19,93,100,5.49,RU,1696025808
112,sao jose da coroa grande,-8.8978,-35.1478,25.38,74,88,4.17,BR,1696025817
113,arno,60.1167,18.6333,14.32,90,99,4.1,SE,1696026264
114,tarko-sale,64.9225,77.785,-1.11,78,28,8.49,RU,1696026265
115,miri,4.4148,114.0089,25.08,94,40,0.51,MY,1696026265
116,askoy,60.4092,5.226,13.16,94,75,8.23,NO,1696025774
117,suntar,62.1444,117.6319,5.56,84,91,2.22,RU,1696026265
